Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.0704,0.00250666666666667,0.0704,0.00225333333333333,0.0704,0.00170666666666667,6.98491764428155e-11,1.00000583743348e-06,7.91623999685243e-11,1.00000550110562e-06,1.30385129359922e-10,1.00000597018894e-06,,
,0.0736,0.00258666666666667,0.0736,0.00232,0.0736,0.00176,1.39698369538976e-10,1.0000116753476e-06,1.5832481881084e-10,1.0000110024511e-06,2.60770289806089e-10,1.00001194046073e-06,,
,0.0768,0.00266666666666667,0.0768,0.0024,0.0768,0.00181333333333333,2.79396755731298e-10,1.00002335130795e-06,3.16649656495471e-10,1.00002200519536e-06,5.21540610698423e-10,1.00002388101513e-06,,
,0.08,0.00274666666666667,0.08,0.00246666666666667,0.08,0.00186666666666667,5.58793528115942e-10,1.00004670339686e-06,6.33299331864734e-10,1.00004401074878e-06,1.04308125248309e-09,1.00004776213585e-06,,
,0.0832,0.00281333333333333,0.0832,0.00253333333333333,0.0832,0.00193333333333333,1.11758707288523e-09,1.00009340778825e-06,1.26659868260326e-09,1.00008802193402e-06,2.08616253605243e-09,1.00009552438963e-06,,
,0.0864,0.00289333333333333,0.0864,0.0026,0.0864,0.00198666666666667,2.2351741624238e-09,1.00018681683975e-06,2.53319738408031e-09,1.00017604439696e-06,4.1723251031911e-09,1.0001910489069e-06,,
,0.0896,0.00297333333333333,0.0896,0.00266666666666667,0.0896,0.00204,4.47034834150095e-09,1.00037363527119e-06,5.06639478703441e-09,1.00035208942251e-06,8.34465023746844e-09,1.00038209793572e-06,,
,0.0928,0.00304,0.0928,0.00273333333333333,0.0928,0.00208,8.94069669965525e-09,1.00074727249614e-06,1.01327895929426e-08,1.00070417954244e-06,1.66893005060231e-08,1.00076419592034e-06,,
,0.096,0.00310666666666667,0.096,0.0028,0.096,0.00213333333333333,1.78813934159638e-08,1.00149454718141e-06,2.0265579204759e-08,1.00140835965498e-06,3.33786010431325e-08,1.00152839154153e-06,,
,0.0992,0.00318666666666667,0.0992,0.00286666666666667,0.0992,0.00218666666666667,3.5762786848581e-08,1.00298909594881e-06,4.05311584283918e-08,1.00281671888043e-06,6.67572021173512e-08,1.0030567813305e-06,,
,0.1024,0.00325333333333333,0.1024,0.00292,0.1024,0.00224,7.15255737138154e-08,1.00597818911471e-06,8.10623168756575e-08,1.00563343274467e-06,1.33514404265789e-07,1.00611355503963e-06,,
,0.1056,0.00332,0.1056,0.00298666666666667,0.1056,0.00229333333333333,1.43051147444284e-07,1.01195635557567e-06,1.62124633770189e-07,1.01126684149211e-06,2.67028808562664e-07,1.01222707902945e-06,,
,0.1088,0.00338666666666667,0.1088,0.00305333333333333,0.1088,0.00233333333333333,2.86102294905222e-07,1.02391260672953e-06,3.24249267559251e-07,1.02253358294719e-06,5.34057617156414e-07,1.02445403420459e-06,,
,0.112,0.00345333333333333,0.112,0.00310666666666667,0.112,0.00238666666666667,5.72204589827097e-07,1.04782478499095e-06,6.48498535137376e-07,1.04506676667338e-06,1.06811523434391e-06,1.0489075810119e-06,,
,0.1152,0.00352,0.1152,0.00317333333333333,0.1152,0.00242666666666667,1.14440917967085e-06,1.09564789380592e-06,1.29699707029363e-06,1.09013198213552e-06,2.13623046871891e-06,1.0978132793019e-06,,
,0.1184,0.00358666666666667,0.1184,0.00322666666666667,0.1184,0.00248,2.28881835935835e-06,1.1912894994519e-06,2.59399414060613e-06,1.18025813709669e-06,4.27246093746891e-06,1.19561951986928e-06,,
,0.1216,0.00365333333333333,0.1216,0.00329333333333333,0.1216,0.00252,4.57763671873335e-06,1.38255678238872e-06,5.18798828123113e-06,1.36049555827319e-06,8.54492187496891e-06,1.39121418456598e-06,,
,0.1248,0.00370666666666667,0.1248,0.00334666666666667,0.1248,0.00257333333333333,9.15527343748335e-06,1.76504193805723e-06,1.03759765624811e-05,1.72092364443846e-06,1.70898437499689e-05,1.78234826432536e-06,,
,0.128,0.00377333333333333,0.128,0.0034,0.128,0.00261333333333333,1.83105468749834e-05,2.52904374906214e-06,2.07519531249811e-05,2.44094714470253e-06,3.41796874999689e-05,2.56370651365307e-06,,
,0.1312,0.00384,0.1312,0.00346666666666667,0.1312,0.00266666666666667,3.66210937499834e-05,4.05514373091669e-06,4.15039062499811e-05,3.87932104029765e-06,6.83593749999689e-05,4.12458060720478e-06,,
