case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
cylinder_z,20.0,1.25,120.0,16512,-0.0002056895425076831,0.999999999999562,0.44269133630286717,0.0,0.999999999999562,0.44269746626960427,0.38783914728682173,0.0002056895425076831,6.129966737136197e-06,True
sphere,20.0,1.25,60.0,7920,8.15329178706452e-08,0.9999872062122314,0.4385522700735147,8.15329178706452e-08,0.9999872062122314,0.4385522700735147,0.0,0.0,0.0,True
sphere,20.0,1.25,90.0,7920,7.457418532696991e-08,0.9999828360668265,0.405002458417623,7.457418532696991e-08,0.9999828360668265,0.405002458417623,0.0,0.0,0.0,True
sphere,20.0,1.25,120.0,7920,-0.00013861594877387882,0.9999821934831657,0.3714526467617312,0.0,0.9999821934831657,0.3714575686341063,0.08080808080808081,0.00013861594877387882,4.921872375081758e-06,True
plane,20.0,1.5,60.0,18432,2.1827266702794544e-15,1.0079985348384934,0.4755421959121866,2.1827266702794544e-15,1.0,0.47526001255162753,0.4166666666666667,0.007998534838493443,0.00028218336055915147,True
plane,20.0,1.5,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,20.0,1.5,120.0,18432,-0.008362571581525965,0.9999999999995132,0.4394578040878446,0.0,0.9999999999995132,0.43973011156878744,0.4479166666666667,0.008362571581525965,0.000272307480942906,True
cylinder_z,20.0,1.5,60.0,16512,2.0313326245236082e-15,1.0081103898350208,0.47576870475473715,2.0313326245236082e-15,1.0,0.475487682904826,0.4166666666666667,0.00811038983502077,0.00028102184991115903,True
cylinder_z,20.0,1.5,90.0,16512,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,0.0,0.0,0.0,True
cylinder_z,20.0,1.5,120.0,16512,-0.008339424371078152,0.9999999999995254,0.4396843054341265,0.0,0.9999999999995254,0.43995811715381533,0.4479166666666667,0.008339424371078152,0.0002738117196887897,True
sphere,20.0,1.5,60.0,7920,8.208351735594982e-08,1.0028344003266931,0.445265726442633,8.208351735594982e-08,1.0,0.44513448591582117,0.12121212121212122,0.0028344003266931317,0.00013124052681182327,True
sphere,20.0,1.5,90.0,7920,7.457418532696991e-08,0.9999828360668265,0.405002458417623,7.457418532696991e-08,0.9999828360668265,0.405002458417623,0.0,0.0,0.0,True
sphere,20.0,1.5,120.0,7920,-0.008204153461511945,0.9999820765410483,0.36473919039261304,0.0,0.9999820765410483,0.3653094818752457,0.32323232323232326,0.008204153461511945,0.0005702914826327419,True
plane,24.0,0.8,60.0,18432,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,0.0,0.0,0.0,True
plane,24.0,0.8,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,24.0,0.8,120.0,18432,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,0.0,0.0,0.0,True
cylinder_z,24.0,0.8,60.0,21888,1.6528894773675645e-15,0.9999999999998629,0.4673645895525831,1.6528894773675645e-15,0.9999999999998629,0.4673645895525831,0.0,0.0,0.0,True
cylinder_z,24.0,0.8,90.0,21888,1.1102230246251565e-15,0.9999999999997455,0.45774205898638926,1.1102230246251565e-15,0.9999999999997455,0.45774205898638926,0.0,0.0,0.0,True
cylinder_z,24.0,0.8,120.0,21888,5.46152519094104e-16,0.9999999999996282,0.44811952842019526,5.46152519094104e-16,0.9999999999996282,0.44811952842019526,0.0,0.0,0.0,True
